subject,stimulus_id,prog_item,room_size,absorption,rt_ratio,loop_gain_dB,filter,routing,is_familiarisation,is_repeated,is_src_to_rec,rating,colouration,flutter_echo,asymmetry,curvature,hf_damping,is_box_behnken,zscore
1,157,2,1,2,0,-1,High Shelf,Right Wall,0,0,0,24,0.3407200962362206,0.7243087762636149,0.6054148833717531,0.39309260461898476,0.6737295845974336,0,-0.7488165007371628
1,158,2,1,2,3,-1,High Shelf,Single LS (left),0,0,0,61,0.9524606318496849,-0.41399520633905723,1.0713256587206408,0.781455851748659,0.9104185214512102,0,0.5096487214822505
1,70,2,2,2,1,-4,High Shelf,Single LS (left),0,0,0,34,0.3424954206134982,0.6911220004809276,0.32074638776826253,0.3116982936173328,0.6768276012792697,0,-0.40869076500218626
1,201,2,2,1,1,-8,Normal,All LS,0,0,0,44,0.27391946799984485,0.6226984717745528,0.3424014352224828,0.19407787239856467,0.43406566738060254,0,-0.06856502926720968
1,144,2,2,1,1,-1,Normal,Right Wall,0,0,0,10,0.6122477110026356,0.48425827842146124,0.5818263726776081,0.2266420308742093,0.49560804182964724,1,-1.22499253076613
1,197,2,3,2,0,-4,Normal,Single LS (left),0,0,0,55,0.25029706642120025,0.543190021778974,0.4590701739676845,0.18057108464770877,0.36221756599957833,1,0.30557328004126455
1,168,2,3,3,1,-1,LPF,Single LS (left),0,0,0,25,0.271455731650247,0.4714060497597085,0.36164829094920065,0.20287336055055372,0.3674441325441777,0,-0.7148039271636651
1,133,1,3,2,3,-4,LPF,Single LS (left),0,0,0,70,0.2363788446867006,0.4966111348756652,0.4715016730389195,0.21035582369308636,0.35745229634956477,0,0.8157618836437294
1,218,1,1,1,1,-4,Normal,Single LS (left),0,0,0,93,0.34439473996571124,0.47612844464274434,0.5971956758109139,0.21673521187484412,0.4940090878555602,0,1.5980510758341755
1,222,1,1,2,0,-1,High Shelf,Right Wall,0,0,0,94,0.3407200962362206,0.7243087762636149,0.6054148833717531,0.39309260461898476,0.6737295845974336,0,1.6320636494076732
1,69,1,3,2,3,-1,LPF,Single LS (left),0,0,0,80,0.2640560149609024,0.485832565066242,0.5461204242540887,0.24968419670812314,0.3171546758104362,0,1.155887619378706
1,109,1,2,1,3,-4,Normal,All LS,0,1,0,16,0.37825885542241106,-0.4167541119182575,0.21289403625795156,0.749482251651984,0.4041332985496552,0,-1.020917089325144
1,121,1,2,3,1,-1,Normal,Right Wall,0,0,0,46,0.23752456980311074,0.618060755556618,0.6467517742993415,0.4691229133325834,0.4469257256560609,1,-0.0005398821202143674
1,12,1,1,3,-999,-999,-999,-999,0,0,1,30,0.22478868504767036,0.7750587810352945,0.4606320002794118,0.28677086609965075,0.6146948631564995,0,-0.5447410592961769
1,185,2,1,3,0,-8,High Shelf,Single LS (left),0,0,0,7,0.2499778784663409,0.6933019054326898,0.44533542252627567,0.2763627322557025,0.5319138065605811,0,-1.327030251486623
1,61,2,1,1,0,-8,Normal,Single LS (left),0,0,0,28,0.1971776230128462,0.462778715093053,0.33958676134534543,0.14476402173629221,0.6106357178960393,0,-0.6127662064431721
1,30,2,2,2,0,-4,High Shelf,Single LS (left),0,0,0,14,0.19482222776619165,0.7761902690186356,0.5780230660709748,0.4434271099463176,0.5675109585691072,1,-1.0889422364721393
1,45,2,3,2,3,-4,LPF,Single LS (left),0,0,0,45,0.2363788446867006,0.4966111348756652,0.4715016730389195,0.21035582369308636,0.35745229634956477,0,-0.03455245569371202
1,100,2,3,2,1,-1,High Shelf,All LS,0,0,0,10,0.3702867208542275,0.31446442795620244,0.36572533226579484,0.26762764373606673,0.4907400236734172,1,-1.22499253076613
1,33,2,1,2,1,-4,LPF,Single LS (left),0,0,0,37,0.20690012695000423,0.7010472009444481,0.6291353760900361,0.25562926289931664,0.7351563279200128,0,-0.30665304428169327
1,76,2,2,1,0,-8,LPF,Right Wall,0,0,0,25,0.24217178635195566,0.5299488922869948,0.3098873746396305,0.126870984194545,0.33930818877846297,0,-0.7148039271636651
1,235,1,1,2,1,-8,LPF,All LS,0,0,0,70,0.2164427876809078,0.7709405342637741,0.5822433166411336,0.24503272424010758,0.6788298983933375,1,0.8157618836437294
1,91,1,2,3,1,-1,Normal,Single LS (left),0,0,0,84,0.5612725281101039,0.6043892370191362,0.6552637526615899,0.5761884272529545,0.5016963112227302,1,1.2919379136726965
1,191,1,1,2,0,-1,Normal,All LS,0,0,0,50,0.255865317930069,0.6496687653311604,0.48797185007618205,0.2807162626800902,0.7459890913101053,0,0.13551041217377627
1,231,1,3,2,1,-1,High Shelf,All LS,0,0,0,18,0.3702867208542275,0.31446442795620244,0.36572533226579484,0.26762764373606673,0.4907400236734172,1,-0.9528919421781488
1,209,1,2,2,0,-1,Normal,Single LS (left),0,0,0,38,0.3861349313987787,0.7564814268432974,0.6713268816782844,0.40816017233662627,0.6866429538880997,0,-0.27264047070819564
1,165,1,1,2,1,-4,LPF,Right Wall,0,0,0,25,0.21571385626894024,0.7275725179136814,0.5605937147484501,0.2507501239543152,0.7266546388453147,0,-0.7148039271636651
1,27,1,3,3,1,-1,LPF,Single LS (left),0,0,0,66,0.271455731650247,0.4714060497597085,0.36164829094920065,0.20287336055055372,0.3674441325441777,0,0.6797115893497387
1,112,2,3,2,3,-4,Normal,Right Wall,0,0,0,20,0.22798121339726451,0.49835391735124535,0.47704919712691285,0.3413895355861646,0.38257953232759995,1,-0.8848667950311534
1,114,2,2,1,3,-8,Normal,All LS,0,0,0,10,0.29177325124295167,-0.02685722236647547,0.2540451563387267,0.6861889555156055,0.3080377253303469,1,-1.22499253076613
1,43,2,1,3,0,-4,Normal,Single LS (left),0,0,0,69,0.2340203272422585,0.6913577511973068,0.45433258917409347,0.27305859152481327,0.5866911730905477,0,0.7817493100702317
1,186,2,3,1,3,-4,High Shelf,All LS,0,0,0,56,0.30974967525103986,-0.11547294823335114,0.13393536042459525,0.7314010724615637,0.6048284758031848,0,0.3395858536147622
1,44,2,2,3,1,-8,LPF,All LS,0,0,0,80,0.21890840300693037,0.7100258529089231,0.49644902657875795,0.394977983524085,0.35664496314371713,0,1.155887619378706
1,117,2,2,2,3,-4,High Shelf,Right Wall,0,0,0,34,0.3844229156821234,0.13494408913881395,0.847222505908069,0.7151302585804584,0.705580786986707,1,-0.40869076500218626
1,172,2,2,3,0,-1,Normal,All LS,0,0,0,37,0.22626071769730258,0.6116100801224318,0.3526126869994428,0.43000713739522045,0.5370437874770962,1,-0.30665304428169327
